Ensembl Gene ID	Gene ID	
ENSG00000000971	3075	
ENSG00000001167	4800	
ENSG00000002549	51056	
ENSG00000003393	57679	
ENSG00000003400	843	
ENSG00000004700	5965	
ENSG00000005007	5976	
ENSG00000005189	81691	
ENSG00000005194	57019	
ENSG00000006047	51087	
ENSG00000006282	64847	
ENSG00000006432	4293	
ENSG00000007038	10942	
ENSG00000007168	5048	
ENSG00000007341	54879	
ENSG00000007350	8277	
ENSG00000008294	9043	
ENSG00000008853	23221	
ENSG00000010295	25900	
ENSG00000010318	51533	
ENSG00000011590	27033	
ENSG00000013523	23357	
ENSG00000013573	1663	
ENSG00000013810	10460	
ENSG00000015413	1800	
ENSG00000017483	92745	
ENSG00000019144	23187	
ENSG00000020426	4331	
ENSG00000024526	55635	
ENSG00000025156	3298	
ENSG00000025772	10953	
ENSG00000025796	11231	
ENSG00000028277	5452	
ENSG00000028839	9519	
ENSG00000031003	51306	
ENSG00000033178	55236	
ENSG00000034677	25897	
ENSG00000035499	55789	
ENSG00000037637	54455	
ENSG00000039600	11063	
ENSG00000040933	3631	
ENSG00000042317	55812	
ENSG00000042813	11055	
ENSG00000046774	51438	
ENSG00000047634	6322	
ENSG00000048471	92017	
ENSG00000049656	81037	
ENSG00000051180	5888	
ENSG00000052344	5652	
ENSG00000055147	10827	
ENSG00000056277	55609	
ENSG00000057608	2665	
ENSG00000058335	5923	
ENSG00000059573	5832	
ENSG00000059804	6515	
ENSG00000060138	8531	
ENSG00000062650	23063	
ENSG00000062716	81671	
ENSG00000063177	6141	
ENSG00000063854	3029	
ENSG00000065029	7629	
ENSG00000065150	3843	
ENSG00000065618	1308	
ENSG00000065833	4199	
ENSG00000065883	8621	
ENSG00000066827	57623	
ENSG00000066923	10734	
ENSG00000068903	22933	
ENSG00000068985	8712	
ENSG00000069020	375449	
ENSG00000069345	10294	
ENSG00000070371	8218	
ENSG00000071539	9319	
ENSG00000071564	6929	
ENSG00000071794	6596	
ENSG00000072062	5566	
ENSG00000072364	27125	
ENSG00000072571	3161	
ENSG00000072952	10335	
ENSG00000073598	54752	
ENSG00000074266	8726	
ENSG00000075131	54962	
ENSG00000075391	9462	
ENSG00000075702	284403	
ENSG00000076351	113235	
ENSG00000076382	10615	
ENSG00000076555	32	
ENSG00000076984	5609	
ENSG00000077800	8468	
ENSG00000077935	27127	
ENSG00000078043	9063	
ENSG00000078114	10529	
ENSG00000078177	55728	
ENSG00000078304	5527	
ENSG00000078403	8028	
ENSG00000078674	5108	
ENSG00000079263	11262	
ENSG00000079432	23152	
ENSG00000079435	3991	
ENSG00000079482	4983	
ENSG00000080007	55510	
ENSG00000080572	139212	
ENSG00000080822	56650	
ENSG00000080824	3320	
ENSG00000082269	57579	
ENSG00000083168	7994	
ENSG00000083635	26747	
ENSG00000085978	55054	
ENSG00000086288	51314	
ENSG00000086619	56605	
ENSG00000086666	54469	
ENSG00000086967	4606	
ENSG00000087299	79944	
ENSG00000087903	5990	
ENSG00000088305	1789	
ENSG00000088756	79822	
ENSG00000089163	23409	
ENSG00000089195	51605	
ENSG00000089225	6910	
ENSG00000089234	8315	
ENSG00000089486	29965	
ENSG00000089685	332	
ENSG00000089723	78990	
ENSG00000089737	57062	
ENSG00000090266	4708	
ENSG00000090273	10726	
ENSG00000090487	51324	
ENSG00000090539	8646	
ENSG00000090621	8761	
ENSG00000091009	54439	
ENSG00000091039	114882	
ENSG00000091127	54517	
ENSG00000091164	9352	
ENSG00000091844	26575	
ENSG00000092201	11198	
ENSG00000092208	8487	
ENSG00000092345	1618	
ENSG00000093009	8318	
ENSG00000093167	9209	
ENSG00000094631	10013	
ENSG00000095627	56165	
ENSG00000095794	1390	
ENSG00000096070	27154	
ENSG00000096433	3710	
ENSG00000096717	23411	
ENSG00000097033	51100	
ENSG00000099256	56952	
ENSG00000099399	4113	
ENSG00000099840	113177	
ENSG00000099960	6545	
ENSG00000100034	9647	
ENSG00000100129	51386	
ENSG00000100206	11144	
ENSG00000100243	1727	
ENSG00000100312	49	
ENSG00000100330	8897	
ENSG00000100523	80821	
ENSG00000100532	10668	
ENSG00000100591	10598	
ENSG00000100593	145501	
ENSG00000100644	3091	
ENSG00000100722	79882	
ENSG00000100749	7443	
ENSG00000100852	394	
ENSG00000100884	9362	
ENSG00000100918	9985	
ENSG00000101115	57167	
ENSG00000101158	51497	
ENSG00000101162	81027	
ENSG00000101189	55257	
ENSG00000101190	10732	
ENSG00000101213	5753	
ENSG00000101276	113278	
ENSG00000101361	10528	
ENSG00000101367	22919	
ENSG00000101444	191	
ENSG00000101493	9658	
ENSG00000101596	23347	
ENSG00000101639	55125	
ENSG00000101751	11201	
ENSG00000101842	340547	
ENSG00000101843	5716	
ENSG00000101883	158800	
ENSG00000101940	64743	
ENSG00000102021	51213	
ENSG00000102048	140462	
ENSG00000102098	10389	
ENSG00000102145	2623	
ENSG00000102226	8237	
ENSG00000102387	54457	
ENSG00000102786	26512	
ENSG00000102900	9688	
ENSG00000102931	23568	
ENSG00000103023	221191	
ENSG00000103047	79613	
ENSG00000103056	55512	
ENSG00000103121	56942	
ENSG00000103150	23417	
ENSG00000103199	26048	
ENSG00000103495	4150	
ENSG00000103540	9738	
ENSG00000103546	6530	
ENSG00000103653	1445	
ENSG00000103742	57722	
ENSG00000103995	22995	
ENSG00000104129	55192	
ENSG00000104142	57617	
ENSG00000104147	11339	
ENSG00000104332	6422	
ENSG00000104368	5327	
ENSG00000104369	56704	
ENSG00000104412	9694	
ENSG00000104450	6674	
ENSG00000104549	6713	
ENSG00000104611	63898	
ENSG00000104755	2515	
ENSG00000104833	10382	
ENSG00000104835	54938	
ENSG00000104884	2068	
ENSG00000104901	27120	
ENSG00000104941	81492	
ENSG00000105143	6511	
ENSG00000105173	898	
ENSG00000105229	51588	
ENSG00000105248	55702	
ENSG00000105255	79187	
ENSG00000105321	26093	
ENSG00000105383	945	
ENSG00000105467	23546	
ENSG00000105617	79165	
ENSG00000105655	51477	
ENSG00000105675	495	
ENSG00000105679	26330	
ENSG00000105695	4099	
ENSG00000105717	80714	
ENSG00000105722	2077	
ENSG00000105887	767558; 136319	
ENSG00000105894	5764	
ENSG00000105926	51678	
ENSG00000105982	140545	
ENSG00000105993	10049	
ENSG00000106028	6742	
ENSG00000106304	6677	
ENSG00000106341	10842	
ENSG00000106348	3614	
ENSG00000106367	1174	
ENSG00000106571	2737	
ENSG00000106635	9275	
ENSG00000106648	168391	
ENSG00000106686	55064	
ENSG00000106993	55664	
ENSG00000107105	1993	
ENSG00000107331	20	
ENSG00000108010	10539	
ENSG00000108094	8453	
ENSG00000108175	57178	
ENSG00000108306	84961	
ENSG00000108349	22794	
ENSG00000108424	3837	
ENSG00000108587	9527	
ENSG00000108691	6347	
ENSG00000108774	5878	
ENSG00000108784	4669	
ENSG00000108825	100885850	
ENSG00000108854	64750	
ENSG00000108961	29098	
ENSG00000109184	23142	
ENSG00000109832	29118	
ENSG00000109919	23788	
ENSG00000109971	3312	
ENSG00000110080	6484	
ENSG00000110395	867	
ENSG00000110693	55553	
ENSG00000110844	25766	
ENSG00000110851	11108	
ENSG00000110871	84274	
ENSG00000110921	4598	
ENSG00000110987	605	
ENSG00000111206	2305	
ENSG00000111218	56341	
ENSG00000111245	4633	
ENSG00000111254	10566	
ENSG00000111364	57696	
ENSG00000111602	8914	
ENSG00000111644	84519	
ENSG00000111667	8078	
ENSG00000111707	64426	
ENSG00000111737	11021	
ENSG00000111783	5992	
ENSG00000111877	254394	
ENSG00000111981	80329	
ENSG00000112038	4988	
ENSG00000112053	116369	
ENSG00000112096	6648	
ENSG00000112110	29074	
ENSG00000112182	60468	
ENSG00000112273	154150	
ENSG00000112530	135138	
ENSG00000112539	168090	
ENSG00000112742	7272	
ENSG00000112796	59084	
ENSG00000112984	10112	
ENSG00000113303	79908	
ENSG00000113396	28965	
ENSG00000113712	1452	
ENSG00000113916	604	
ENSG00000113971	27031	
ENSG00000114487	27136	
ENSG00000114670	79858	
ENSG00000114739	93	
ENSG00000114742	57599	
ENSG00000114771	13	
ENSG00000114956	1716	
ENSG00000114982	55683	
ENSG00000115194	7781	
ENSG00000115241	5496	
ENSG00000115310	57142	
ENSG00000115355	55704	
ENSG00000115419	2744	
ENSG00000115421	64895	
ENSG00000115484	10575	
ENSG00000115657	10058	
ENSG00000115875	6432	
ENSG00000115904	6654	
ENSG00000115942	4999	
ENSG00000115998	54980	
ENSG00000116014	84634	
ENSG00000116191	55103	
ENSG00000116584	9181	
ENSG00000116703	5132	
ENSG00000116729	79971	
ENSG00000116752	10286	
ENSG00000116918	7257	
ENSG00000117139	10765	
ENSG00000117245	57576	
ENSG00000117505	1810	
ENSG00000118058	4297	
ENSG00000118245	7141	
ENSG00000118307	55259	
ENSG00000118407	27145	
ENSG00000118434	81833	
ENSG00000118894	196483	
ENSG00000119397	11064	
ENSG00000119596	56252	
ENSG00000119640	97	
ENSG00000119650	112752	
ENSG00000119965	80007	
ENSG00000119969	3070	
ENSG00000120053	2805	
ENSG00000120156	7010	
ENSG00000120160	54586	
ENSG00000120210	11172	
ENSG00000120438	6950	
ENSG00000120498	56159	
ENSG00000120662	9617	
ENSG00000120949	943	
ENSG00000121058	8161	
ENSG00000121152	23397	
ENSG00000121380	79370	
ENSG00000121570	55211	
ENSG00000121653	9479	
ENSG00000121764	3061	
ENSG00000122304	5620	
ENSG00000122512	5395	
ENSG00000122545	989	
ENSG00000122574	644150	
ENSG00000122591	84668	
ENSG00000122692	55234	
ENSG00000122735	27019	
ENSG00000123165	139741	
ENSG00000123358	3164	
ENSG00000123505	262	
ENSG00000123570	51209	
ENSG00000123576	80712	
ENSG00000123636	29994	
ENSG00000123843	725	
ENSG00000124092	140690	
ENSG00000124151	8202	
ENSG00000124196	149699	
ENSG00000124198	10564	
ENSG00000124207	1434	
ENSG00000124212	5740	
ENSG00000124226	55905	
ENSG00000124251	27296	
ENSG00000124275	4552	
ENSG00000124334	3581	
ENSG00000124406	10396	
ENSG00000124449	56269	
ENSG00000124490	7180	
ENSG00000124496	55809	
ENSG00000124588	4835	
ENSG00000124596	221443	
ENSG00000124610	3024	
ENSG00000124678	6954	
ENSG00000124733	4201	
ENSG00000124784	83732	
ENSG00000125207	9271	
ENSG00000125266	1948	
ENSG00000125347	3659	
ENSG00000125386	8603	
ENSG00000125388	2868	
ENSG00000125450	79902	
ENSG00000125730	718	
ENSG00000125779	80025	
ENSG00000125878	6939	
ENSG00000125888	140836	
ENSG00000125900	128646	
ENSG00000125962	64860	
ENSG00000125966	10893	
ENSG00000125971	83658	
ENSG00000126226	55795	
ENSG00000126456	3661	
ENSG00000126467	60385	
ENSG00000126581	8678	
ENSG00000126752	6756	
ENSG00000126787	9787	
ENSG00000126803	3306	
ENSG00000126890	30848	
ENSG00000127080	64768	
ENSG00000128040	6691	
ENSG00000128253	10739	
ENSG00000128283	11135	
ENSG00000128322	3543	
ENSG00000128564	7425	
ENSG00000128596	64753	
ENSG00000128607	23008	
ENSG00000128641	4430	
ENSG00000128872	29767	
ENSG00000128944	90417	
ENSG00000129355	1032	
ENSG00000129484	10038	
ENSG00000129680	79649	
ENSG00000129862	353513	
ENSG00000129864	9084	
ENSG00000129873	203611	
ENSG00000130021	8226	
ENSG00000130023	55780	
ENSG00000130035	26290	
ENSG00000130066	6303	
ENSG00000130244	147965	
ENSG00000130312	64981	
ENSG00000130377	81616	
ENSG00000130518	80726	
ENSG00000130695	64793	
ENSG00000130734	84971	
ENSG00000130803	57693	
ENSG00000130816	1786	
ENSG00000130943	10343	
ENSG00000131059	128861	
ENSG00000131126	83639	
ENSG00000131152	-	
ENSG00000131373	26061	
ENSG00000131462	7283	
ENSG00000131470	29893	
ENSG00000131721	84528	
ENSG00000131725	54521	
ENSG00000132016	79173	
ENSG00000132141	10693	
ENSG00000132467	57050	
ENSG00000132664	10621	
ENSG00000132703	325	
ENSG00000132911	56923	
ENSG00000132972	56163	
ENSG00000133069	9911	
ENSG00000133250	84330	
ENSG00000133328	54979	
ENSG00000133477	113828	
ENSG00000133731	3612	
ENSG00000133818	22800	
ENSG00000134007	8748	
