Ensembl Gene ID	Gene ID
ENSG00000055147	10827
ENSG00000105617	79165
ENSG00000105887	767558
ENSG00000112539	168090
ENSG00000125386	8603
ENSG00000125962	64860
ENSG00000140067	90050
ENSG00000135045	55071
ENSG00000141371	124773
ENSG00000146049	353219
ENSG00000149609	128864
ENSG00000151470	132321
ENSG00000155307	388813
ENSG00000155026	222967
ENSG00000157470	145773
ENSG00000159873	150275
ENSG00000159708	55282
ENSG00000159761	388284
ENSG00000162620	127255
ENSG00000162598	127795
ENSG00000162222	283237
ENSG00000162779	126859
ENSG00000164743	157773
ENSG00000163006	165055
ENSG00000163645	131831
ENSG00000164323	57587
ENSG00000167483	199786
ENSG00000178645	282966
ENSG00000180697	152065
ENSG00000181626	342850
ENSG00000180878	160298
ENSG00000182308	285429
ENSG00000183476	646892
ENSG00000185264	339669
ENSG00000187186	730098
ENSG00000189064	 26749
ENSG00000186645	102723849
ENSG00000179058	375759
ENSG00000188959	401546
ENSG00000189064	 729408
ENSG00000189064	645037
ENSG00000189376	84933
ENSG00000198948	101928198
ENSG00000189064	 729447
ENSG00000203942	414157
ENSG00000212123	163154
ENSG00000203784	149018
ENSG00000204930	392307
ENSG00000230358	442572
ENSG00000204856	29902
ENSG00000215269	 645073
ENSG00000224659	729396
ENSG00000215269	2579
ENSG00000216649	729431
ENSG00000224902	729442
ENSG00000227488	100132399
ENSG00000235034	342918
ENSG00000237671	729422
ENSG00000215274	102724473
ENSG00000236362	 2579
ENSG00000249481	221409
ENSG00000236362	 100008586
ENSG00000260456	100506581
ENSG00000274274	645051
ENSG00000275113	729428
